spec:SSSOM,spec:R4,spec:R5
MappingSet.mapping_set_id,.,releasedArtifact.document.title
.,.,releasedArtifact.document.creation
.,.,releasedArtifact.document.height
.,.,releasedArtifact.document.width
.,.,releasedArtifact.document.frames
.,.,releasedArtifact.document.duration
.,.,releasedArtifact.document.pages
.,.,releasedArtifact.resource
.,.,releasedArtifact.resourceReference.reference
.,.,releasedArtifact.resourceReference.type
MappingSet.mapping_set_id,.,releasedArtifact.resourceReference.display
.,.,releasedArtifact.resourceReference.identifier
.,group.element.noMap,.
.,group.element.valueSet,.
.,group.element.target.unmapped.mode,group.element.target.unmapped.mode
Mapping.subject_id,group.element.target.unmapped.code,group.element.target.unmapped.code
Mapping.subject_label,group.element.target.unmapped.display,group.element.target.unmapped.display
.,.,group.element.target.unmapped.valueSet
Mapping.predicate_id,.,group.element.target.unmapped.relationship
.,group.element.target.unmapped.url,group.element.target.unmapped.otherMap
.,useContext.code,useContext.code
.,useContext.valueCodeableConcept,useContext.valueCodeableConcept
.,jurisdiction,jurisdiction
